2460661.6943418249 -8.9806390696 2.6189227684 NEID1
2460661.8343180944 -21.9210242305 3.1412993415 NEID1
2460680.6447706195 -12.1300433645 4.2333938244 NEID2
2460680.7465518303 6.7747385408 2.8155222977 NEID2
2460725.6172892489 -1.3624156316 2.9572342427 NEID3
2460725.6210312811 -6.2940362124 2.7031448682 NEID3
2460725.6723220921 -16.3446227195 5.5671260526 NEID3
2460725.6758778989 -11.3468084303 5.3757756861 NEID3
